id,x,y,count
0,135.953205307,-315.012180899,991
0,159.74028906,-300.860371578,991
1,208.950231424,-102.411193215,196
1,190.35645574,-69.7117945992,196
2,311.194376525,-349.336998627,703
2,336.847384244,-333.704697048,703
3,184.430679791,-171.68747373,541
3,208.51886587,-157.836766735,541
4,162.75131232,-420.096892668,273
4,183.624910699,-406.52396461,273
5,185.333986769,-346.627925128,602
5,209.121070522,-332.777218132,602
6,370.153735058,-180.932775416,1316
6,417.712607182,-229.335887874,1316
7,436.426601243,-222.86337865,233
7,445.291124745,-210.762600536,233
8,185.032884443,-405.643981021,390
8,183.624910699,-406.52396461,390
9,158.23477743,-243.349827315,740
9,183.226270487,-228.294711015,740
10,513.907206506,-367.021965811,390
10,528.890546635,-354.462401291,390
11,429.773651314,-328.072802075,3617
11,429.069664442,-359.752211303,3617
12,384.014504651,-467.462202679,674
12,357.263003525,-424.519003503,674
13,416.356797874,-304.871335106,972
13,410.864619258,-296.199474133,972
14,336.847384244,-495.621677549,465
14,310.79986999,-453.382465244,465
15,158.00824144,-483.489585209,190
15,188.646112355,-465.262241566,190
16,308.484838097,-104.541655035,196
16,300.636780483,-92.152558355,196
17,284.752355735,-647.682841844,13
17,310.79986999,-630.787156923,13
18,85.6691168677,-285.203050627,80
18,110.058405273,-270.147934327,80
19,286.160329479,-583.620036516,183
19,310.79986999,-630.787156923,183
20,333.035419933,-380.245705237,999
20,308.664546978,-394.86822901,999
21,256.394135701,-188.248101659,863
21,281.084526432,-229.800222645,863
22,455.821165568,-425.926977246,283
22,479.756719207,-469.574163294,283
23,357.263003525,-424.519003503,464
23,381.902544035,-411.14325294,464
24,524.514915463,-264.870710157,1870
24,552.354202142,-305.102616908,1870
25,417.712607182,-229.335887874,1270
25,436.426601243,-222.86337865,1270
26,209.723275174,-390.588864721,254
26,233.811461252,-376.738157726,254
27,312.207843733,-511.813375599,150
27,337.551371116,-555.460561647,150
28,232.305949623,-145.792673695,397
28,256.394135701,-188.248101659,397
29,460.558612037,-272.778146194,2522
29,459.282657454,-280.689064609,2522
30,380.4478455,-353.216191597,949
30,429.773651314,-328.072802075,949
31,582.213610034,-303.563113501,387
31,586.840818015,-306.207232347,387
32,83.8625029118,-170.784166752,336
32,108.552893643,-213.314870298,336
33,233.811461252,-376.738157726,653
33,260.308465939,-422.505711276,653
34,334.735423629,-440.006714681,701
34,308.664546978,-394.86822901,701
35,459.282657454,-280.689064609,196
35,475.011417685,-301.914858626,196
36,211.076552638,-451.876642548,699
36,188.646112355,-465.262241566,699
37,212.484526381,-450.996658958,1004
37,235.618075208,-436.958622923,1004
38,388.238425881,-305.545222179,232
38,363.59888537,-320.328946485,232
39,359.37496414,-483.653900729,1344
39,384.014504651,-467.462202679,1344
40,528.890546635,-354.462401291,196
40,554.009675674,-333.089107284,196
41,406.542084546,-397.063515505,503
41,381.902544035,-411.14325294,503
42,162.75131232,-420.096892668,147
42,135.652102981,-434.549804315,147
43,524.811878999,-382.98377807,582
43,547.339458894,-416.775147914,582
44,481.164692951,-411.14325294,2220
44,502.284299103,-397.063515505,2220
45,110.359507598,-328.862887894,629
45,135.953205307,-315.012180899,629
46,313.615817477,-567.428338466,183
46,338.255357988,-614.595458873,183
47,389.646399625,-585.731997131,196
47,411.469992648,-627.971209436,196
48,422.739968773,-417.918353308,3028
48,423.437769468,-387.207699301,3028
49,308.484838097,-104.541655035,196
49,329.26089859,-93.0997666479,196
50,286.864316351,-470.278150166,152
50,260.308465939,-422.505711276,152
51,49.9413910972,-164.604167052,196
51,60.6776238109,-185.237078399,196
52,429.773651314,-328.072802075,1293
52,416.356797874,-304.871335106,1293
53,219.281576664,-622.339314462,196
53,234.560656299,-665.046183648,196
54,362.190911627,-539.268863596,102
54,389.646399625,-585.731997131,102
55,208.51886587,-157.836766735,286
55,231.703744971,-201.195501677,286
56,214.353668561,-511.813375599,226
56,238.993209072,-497.733638164,226
57,84.7658098897,-226.262270315,102
57,110.058405273,-270.147934327,102
58,257.899647331,-362.887450731,82
58,233.811461252,-376.738157726,82
59,162.75131232,-420.096892668,112
59,136.254307633,-374.329339118,112
60,310.79986999,-453.382465244,708
60,286.864316351,-470.278150166,708
61,214.353668561,-511.813375599,113
61,177.042364359,-532.932981751,113
62,410.766005777,-510.405401855,100
62,438.221493775,-556.164548518,100
63,257.899647331,-303.269190186,2124
63,271.105304644,-325.82541649,2124
64,284.697754344,-118.392362031,1077
64,306.979326467,-160.245585343,1077
65,540.299590177,-455.494425859,378
65,502.284299103,-397.063515505,378
66,183.624910699,-406.52396461,154
66,211.076552638,-451.876642548,154
67,432.589598801,-440.006714681,2500
67,455.821165568,-425.926977246,2500
68,410.766005777,-510.405401855,618
68,434.701559416,-494.917690677,618
69,209.121070522,-332.777218132,830
69,233.811461252,-316.517692529,830
70,283.49334504,-174.096292338,870
70,304.871610185,-216.551720302,870
71,362.894898498,-597.699773951,33
71,338.255357988,-614.595458873,33
72,445.291124745,-210.762600536,69
72,484.126180089,-237.215464321,69
73,336.847384244,-333.704697048,2059
73,319.935711467,-301.115371447,2059
74,286.160329479,-583.620036516,99
74,260.816802096,-599.107747694,99
75,414.622425679,-292.730729743,916
75,402.318163316,-268.937904848,916
76,444.55737562,-297.80136659,3041
76,445.965349364,-306.249209051,3041
77,271.105304644,-325.82541649,1141
77,319.935711467,-301.115371447,1141
78,238.289222201,-555.460561647,330
78,260.816802096,-599.107747694,330
79,384.014504651,-467.462202679,98
79,410.766005777,-510.405401855,98
